Academic year 2024/2025
Bachelor's Degree (BSc) on PHYSICAL EDUCATION AND SPORT SCIENCES
Curriculum: PHYSICAL EDUCATION AND SPORT SCIENCES - PALERMO
For more information visit http://www.unipa.it/struttura.html?id=533
---------
Class of Bachelor's Degree (BSc) on Sports and Physical Education (L-22)
Duration 3 years
Location PALERMO
Number of seats in local planning: 200
Department of Psychological, Pedagogical, Exercise and Training Sciences
Course Code 2118
---------
Teachings first year
Subject code	Subject name	Teacher	ECTS	Term	Scientific sector
02528	PRIVATE LAW - INTEGRATED COURSE	AGRIFOGLIO	9	Yearly	
	SPORTS LAW	AGRIFOGLIO	3		IUS/01
	ELEMENTS OF PRIVATE LAW	RICCOBENE	6		IUS/01
09744	GENERAL AND SPECIAL PEDAGOGY	ANELLO	12	Yearly	
	SPECIAL PEDAGOGY AND TEACHING METHODOLOGY	ANELLO	6		M-PED/03
	GENERAL PEDAGOGY	SIDOTI	6		M-PED/01
20672	HUMAN MORPHOLOGY AND BIOMECHANICS	BARONE	12	1° semestre	
	HUMAN ANATOMY I	BARONE	6		BIO/16
	ANALYSIS OF MOVEMENT	PATTI	6		M-EDF/01
20671	HUMAN MORPHOLOGY AND NEURO-MOTILITY	THOMAS	12	2° semestre	
	THEORY AND METHODOLOGY OF HUMAN MOTION	THOMAS	6		M-EDF/01
	HUMAN ANATOMY II	MACALUSO	6		BIO/16
21079	GENERAL PSYCHOLOGY OF DEVELOPMENT AND DISABILITY	ALESI	12	2° semestre	
	PSYCHOLOGY OF DEVELOPMENT AND DISABILITY	ALESI	6		M-PSI/04
	GENERAL PSYCHOLOGY	CACI	6		M-PSI/01

Teachings second year
Subject code	Subject name	Teacher	ECTS	Term	Scientific sector
01542	BIOCHEMISTRY	PROIA	6	1° semestre	BIO/10
03380	HUMAN PHYSIOLOGY - INTEGRATED COURSE	RUSSO	12	Yearly	
	HUMAN PHYSIOLOGY I	RUSSO	6		BIO/09
	HUMAN PHYSIOLOGY II	RUSSO	6		BIO/09
04039	ELEMENTS OF PUBLIC LAW	FIORELLO, BLANDO	6	1° semestre	IUS/09
57017	APPLIED DIETETIC TECHNICAL SCIENCES	MIRISOLA	6	1° semestre	MED/49
86628	ENGLISH LANGUAGE II	CAPPUZZO	4	1° semestre	L-LIN/12
07507	THEORY, TECHNIQUE AND TEACHING METHODOLOGY  OF  PREVENTIVE AND COMPENSATORY PHYSICAL EDUCATION	ZANGLA	6	2° semestre	M-EDF/01
13351	ADVANCED SKILLS RELATED TO THE LABOUR MARKET		3	2° semestre	
17540	THEORY, TECHNIQUE AND TEACHING METHODOLOGY  OF INDIVIDUAL SPORT ACTIVITIES	IOVANE	6	2° semestre	M-EDF/02
17700	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF SPORT GAMES	BATTAGLIA	6	2° semestre	M-EDF/02
	Free subjects (suggested)		6		

Teachings third year
Subject code	Subject name	Teacher	ECTS	Term	Scientific sector
09424	SPORTS MEDICINE - INTEGRATED COURSE	LO PRESTI	9	1° semestre	
	HYGIENE	TABACCHI	3		MED/42
	SPORTS MEDICINE	LO PRESTI	6		MED/09
13121	PRACTICE		5	1° semestre	
15296	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF MOTORIAL ACTIVITIES FOR THE VARIOUS AGES-	THOMAS	6	1° semestre	M-EDF/01
19958	THEORY, TECHNIQUE AND TEACHING METHODOLOGY  OF ADAPTED MOTORIAL ACTIVITY	BATTAGLIA	6	1° semestre	M-EDF/01
05917	FINAL EXAMINATION		4	2° semestre	
11521	THEORY AND METHODOLOGY OF SPORT ACTIVITIES - INTEGRATED COURSE	BELLAFIORE	12	2° semestre	
	MOTORIAL AND APTITUDE ASSESSMENT METHODS FOR SPORTS	BELLAFIORE	6		M-EDF/02
	THEORY AND METHODOLOGY OF SPORT TRAINING	BIANCO	6		M-EDF/02
19292	SPORT BUSINESS ECONOMICS	CINCIMINO	6	2° semestre	SECS-P/07
19957	THEORY, TECHNIQUE AND TEACHING METHODOLOGY  OF FITNESS	BIANCO	6	2° semestre	M-EDF/02
86626	ENGLISH LANGUAGE		2	2° semestre	
	Free subjects (suggested) II		6		

Free subjects (suggested)
Subject code	Subject name	Teacher	ECTS	Term	Scientific sector
02396	ADMINISTRATIVE LAW	CELONE	3	1° semestre	IUS/10
03354	PHYSIOLOGY OF NUTRITION	PROIA	3	1° semestre	BIO/09
11538	THEORY, TECHNIQUE AND TEACHING METHODOLOGY  OF TENNIS	IOVANE	3	1° semestre	M-EDF/02
11540	THEORY, TECHNIQUE AND TEACHING METHODOLOGY  OF MARTIAL ARTS	CARAMAZZA	3	1° semestre	M-EDF/02
17504	POSTURAL ASSESSMENT IN THE PREVENTION OF SPORTS TRAUMAS	GIUSTINO	3	1° semestre	M-EDF/02
19289	RIGHT TO HEALTH AND TO CIVIL LIABILITY IN SPORT	AGRIFOGLIO	3	1° semestre	IUS/01
19290	EUROPEAN SPORT LAW	SANTORO	3	1° semestre	IUS/01
19855	FIRST AID IN SPORTS	LEONARDI	3	1° semestre	MED/18
21114	HISTORY OF PHYSICAL EDUCATION	MANCUSO	3	1° semestre	M-STO/04
22041	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF FREE BODY TRAINING	POLIZZI	3	1° semestre	M-EDF/01
22046	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF TWIRLING	FINOCCHIARO	3	1° semestre	M-EDF/01
22049	INDOOR CYCLING	LONGO	3	1° semestre	M-EDF/02
22490	ELEMENTS OF STATISTICS FOR PHYSICAL EDUCATION	MENDOLA	3	1° semestre	SECS-S/05
23606	NEUROLOGY	BRIGHINA	3	1° semestre	MED/26
05640	EXPERIMENTAL PEDAGOGY	CAPPUCCIO	3	2° semestre	M-PED/04
14189	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF BASKETBALL	PALAZZOLO	3	2° semestre	M-EDF/02
17500	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF HANDBALL	PEZZER	3	2° semestre	M-EDF/02
17501	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF FENCING	BELLAFIORE	3	2° semestre	M-EDF/02
17502	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF SWIMMING ACTIVITIES	CASSARO	3	2° semestre	M-EDF/02
17505	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF BADMINTON	BENINATI	3	2° semestre	M-EDF/02
20311	PREVENTION AND HEALTH PROMOTION IN THE DEVELOPMENTAL AGE THROUGH PHYSICAL ACTIVITY	TABACCHI	3	2° semestre	MED/42
22491	THEORY, TECHNIQUE AND TEACHING METHODOLOGYOF KOSHIDO BUDO	LATTUCA	3	2° semestre	M-EDF/02
23309	GROUP PSYCHODYNAMIC IN SPORTS	LA GRUTTA	3	2° semestre	M-PSI/07
23310	ECONOMICS AN MANAGEMENT OF AMATEUR SPORT CLUBS AND ASSOCIATIONS	DI MARIA	3	2° semestre	SECS-P/08
23625	TECHNOLOGICAL INFORMATION  LAW AND COMPUTER DATA PROCESSING LAW IN SPORTS		3	2° semestre	IUS/01

Free subjects (suggested) II
Subject code	Subject name	Teacher	ECTS	Term	Scientific sector
02396	ADMINISTRATIVE LAW	CELONE	3	1° semestre	IUS/10
03354	PHYSIOLOGY OF NUTRITION	PROIA	3	1° semestre	BIO/09
11538	THEORY, TECHNIQUE AND TEACHING METHODOLOGY  OF TENNIS	IOVANE	3	1° semestre	M-EDF/02
11540	THEORY, TECHNIQUE AND TEACHING METHODOLOGY  OF MARTIAL ARTS	CARAMAZZA	3	1° semestre	M-EDF/02
17504	POSTURAL ASSESSMENT IN THE PREVENTION OF SPORTS TRAUMAS	GIUSTINO	3	1° semestre	M-EDF/02
19289	RIGHT TO HEALTH AND TO CIVIL LIABILITY IN SPORT	AGRIFOGLIO	3	1° semestre	IUS/01
19290	EUROPEAN SPORT LAW	SANTORO	3	1° semestre	IUS/01
19855	FIRST AID IN SPORTS	LEONARDI	3	1° semestre	MED/18
21114	HISTORY OF PHYSICAL EDUCATION	MANCUSO	3	1° semestre	M-STO/04
22041	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF FREE BODY TRAINING	POLIZZI	3	1° semestre	M-EDF/01
22046	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF TWIRLING	FINOCCHIARO	3	1° semestre	M-EDF/01
22049	INDOOR CYCLING	LONGO	3	1° semestre	M-EDF/02
22490	ELEMENTS OF STATISTICS FOR PHYSICAL EDUCATION	MENDOLA	3	1° semestre	SECS-S/05
23606	NEUROLOGY	BRIGHINA	3	1° semestre	MED/26
05640	EXPERIMENTAL PEDAGOGY	CAPPUCCIO	3	2° semestre	M-PED/04
14189	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF BASKETBALL	PALAZZOLO	3	2° semestre	M-EDF/02
17500	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF HANDBALL	PEZZER	3	2° semestre	M-EDF/02
17501	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF FENCING	BELLAFIORE	3	2° semestre	M-EDF/02
17502	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF SWIMMING ACTIVITIES	CASSARO	3	2° semestre	M-EDF/02
17505	THEORY, TECHNIQUE AND TEACHING METHODOLOGY OF BADMINTON	BENINATI	3	2° semestre	M-EDF/02
20311	PREVENTION AND HEALTH PROMOTION IN THE DEVELOPMENTAL AGE THROUGH PHYSICAL ACTIVITY	TABACCHI	3	2° semestre	MED/42
22491	THEORY, TECHNIQUE AND TEACHING METHODOLOGYOF KOSHIDO BUDO	LATTUCA	3	2° semestre	M-EDF/02
23309	GROUP PSYCHODYNAMIC IN SPORTS	LA GRUTTA	3	2° semestre	M-PSI/07
23310	ECONOMICS AN MANAGEMENT OF AMATEUR SPORT CLUBS AND ASSOCIATIONS	DI MARIA	3	2° semestre	SECS-P/08
23625	TECHNOLOGICAL INFORMATION  LAW AND COMPUTER DATA PROCESSING LAW IN SPORTS		3	2° semestre	IUS/01

